language,avg_stars_per_repo
Scala,73003.0
Zig,39620.0
HTML,37376.67
MDX,35799.8
Java,29172.0
Python,27637.8
PowerShell,27162.67
C++,26770.95
Batchfile,25906.0
Mojo,25872.0
Jupyter Notebook,24786.89
TypeScript,24067.13
Go,23319.58
Rust,23085.38
Dart,22735.0
CSS,21880.5
Text,21694.0
Objective-C,21201.0
Svelte,21025.33
JavaScript,21014.33
Ruby,20091.4
Lua,19826.67
Shell,18317.6
Kotlin,17573.41
Cuda,17098.75
C,16595.67
MATLAB,15293.0
Dockerfile,14213.33
C#,14204.83
Vue,14127.0
Swift,14119.64
Solidity,13927.0
QML,13886.0
SystemVerilog,12182.0
SVG,12046.0
PHP,10933.33
Elixir,10066.0
Astro,9200.0
Makefile,8022.0
