language,year,total_forks,repo_count,total_stars,total_open_issues,productivity_score,activity_proxy_score
Zig,2022,2332,1,50622,238,50622.0,55524.0
Cuda,2024,3517,1,29551,218,29551.0,36803.0
Dockerfile,2022,25254,3,42640,239,14213.33,31129.0
Rust,2024,12035,9,138273,1649,15363.67,18221.33
Astro,2022,477,1,9200,88,9200.0,10242.0
Ruby,2023,2270,3,37731,323,12577.0,14198.0
Swift,2023,1953,4,74774,1059,18693.5,19934.75
Ruby,2024,5799,2,62726,170,31363.0,37247.0
Shell,2024,15487,9,197602,476,21955.78,25450.22
MATLAB,2022,1427,1,15293,0,15293.0,18147.0
Python,2023,466322,117,3654400,48069,31234.19,39616.35
SystemVerilog,2024,1134,1,12182,36,12182.0,14486.0
Solidity,2022,2417,1,13927,11,13927.0,18772.0
Jupyter Notebook,2022,58558,18,371553,4418,20641.83,27393.72
JavaScript,2022,19980,13,209411,2825,16108.54,19399.69
Go,2023,36167,10,427008,4424,42700.8,50376.6
Rust,2022,35758,20,441224,9587,22061.2,26116.35
Rust,2023,24066,21,574772,9326,27370.1,30106.19
PowerShell,2023,1423,1,18398,125,18398.0,21369.0
PowerShell,2022,2808,1,51780,17,51780.0,57413.0
Java,2024,2416,2,20478,590,10239.0,12950.0
C,2022,13575,8,116737,1165,14592.13,18131.5
Shell,2023,773,2,33643,122,16821.5,17655.5
CSS,2023,1345,1,12957,333,12957.0,15980.0
Zig,2023,1217,1,28618,83,28618.0,31135.0
Dart,2024,2281,4,53644,685,13411.0,14722.75
HTML,2023,11505,4,107603,557,26900.75,32792.5
QML,2022,1115,1,13886,480,13886.0,16596.0
Python,2024,302991,107,2619157,24044,24478.1,30366.2
Go,2024,26315,12,206581,1441,17215.08,21721.0
Shell,2022,29710,4,43519,65,10879.75,25751.0
Mojo,2023,2798,1,25872,922,25872.0,32390.0
JavaScript,2023,41330,12,286736,3282,23894.67,31056.5
Dart,2023,9778,6,121382,1960,20230.33,23816.33
TypeScript,2024,186685,77,1569264,21269,20380.05,25505.23
MDX,2023,981,1,20701,2,20701.0,22665.0
Swift,2022,3495,5,64167,972,12833.4,14425.8
Makefile,2022,2154,1,8022,7,8022.0,12337.0
Svelte,2024,1028,2,23542,75,11771.0,12836.5
Vue,2024,748,1,8795,40,8795.0,10331.0
Dart,2022,6161,3,120529,1854,40176.33,44901.67
CSS,2022,2522,1,30804,0,30804.0,35848.0
Java,2023,23345,7,158456,1519,22636.57,29523.57
Lua,2024,807,1,17767,61,17767.0,19442.0
TypeScript,2022,83055,52,1074761,12894,20668.48,24110.87
Kotlin,2022,14409,11,169897,3407,15445.18,18374.73
C++,2022,20688,14,234914,6957,16779.57,20231.93
Jupyter Notebook,2023,127013,22,693304,3381,31513.82,43214.14
Batchfile,2024,2022,1,25906,1334,25906.0,31284.0
HTML,2022,27876,7,244879,1195,34982.71,43118.0
MDX,2022,7898,1,73241,256,73241.0,89293.0
C#,2022,1398,2,19710,11,9855.0,11258.5
PowerShell,2024,375,1,11310,6,11310.0,12066.0
Kotlin,2023,3378,2,57770,152,28885.0,32339.0
JavaScript,2024,22085,8,197326,888,24665.75,30298.0
C++,2023,28139,4,230341,2618,57585.25,72309.25
C,2023,7457,3,68675,740,22891.67,28109.67
SVG,2022,1607,1,12046,1210,12046.0,16470.0
Vue,2023,12740,3,59248,334,19749.33,28354.0
Swift,2024,1075,2,16375,392,8187.5,9458.5
Java,2022,19396,2,141958,179,70979.0,90464.5
C,2024,4344,4,63523,1367,15880.75,18394.5
C#,2023,6604,4,65519,1108,16379.75,19958.75
Go,2022,24812,21,369153,5469,17578.71,20202.19
Jupyter Notebook,2024,68971,21,447143,2249,21292.52,27968.29
PHP,2024,2247,3,32800,63,10933.33,12452.33
HTML,2024,13582,4,208168,43,52042.0,58843.75
C++,2024,8764,3,96935,1535,32311.67,38666.0
TypeScript,2023,253220,43,1495521,15656,34779.56,46921.33
Lua,2022,49030,5,101193,399,20238.6,39930.4
Cuda,2022,3535,3,38844,561,12948.0,15491.67
Elixir,2022,320,1,10066,271,10066.0,10977.0
Python,2022,205537,63,1658493,17939,26325.29,33135.02
Scala,2023,13261,1,73003,511,73003.0,100036.0
Kotlin,2024,3560,4,71081,1183,17770.25,19846.0
Vue,2022,2040,2,16719,117,8359.5,10458.0
Text,2022,648,1,21694,6,21694.0,22996.0
Objective-C,2022,1522,1,21201,47,21201.0,24292.0
MDX,2024,4276,3,85057,180,28352.33,31263.0
Svelte,2022,3320,1,39534,230,39534.0,46404.0
