language,month,repo_count,total_stars
Jupyter Notebook,8,7,176718
TypeScript,7,12,249427
TypeScript,1,12,336253
Go,6,5,258762
Swift,3,2,37749
TypeScript,9,10,178656
C,5,2,33774
MATLAB,8,1,15293
Rust,7,6,121407
C++,7,2,22262
Swift,11,2,25135
Elixir,6,1,10066
Go,2,3,86488
Go,11,3,43805
Jupyter Notebook,6,4,173345
Python,1,20,481010
Java,12,1,31626
Rust,11,1,25576
Go,4,2,54381
MDX,6,2,29948
Kotlin,1,2,30252
Jupyter Notebook,12,1,14675
Shell,3,1,11810
PowerShell,6,1,11310
Python,9,19,479783
MDX,12,1,73241
Python,12,26,677297
Python,3,35,1169609
Python,5,30,735742
C++,10,2,39829
JavaScript,11,4,80108
Python,4,24,560792
Cuda,1,2,28585
Go,1,3,72524
Rust,4,4,48436
Jupyter Notebook,5,6,104198
Cuda,12,1,10259
Lua,7,1,10192
C++,8,2,34838
Vue,3,1,8723
Swift,12,1,8251
Java,10,2,52571
Rust,2,3,56769
Java,1,2,25257
Shell,1,2,59056
Shell,5,2,44729
Shell,12,1,26216
Batchfile,10,1,25906
Vue,12,1,8795
Svelte,7,1,39534
Lua,12,1,25852
Go,9,5,88421
HTML,5,5,217025
HTML,11,2,28193
Jupyter Notebook,7,8,250686
Astro,7,1,9200
Go,10,5,62928
Vue,4,1,7996
C#,2,2,40475
C,7,3,53516
Cuda,4,1,29551
Go,12,2,20446
Dart,9,1,9251
Rust,8,7,202613
TypeScript,12,10,208274
JavaScript,9,4,90277
Python,2,27,784578
Lua,6,1,30191
Kotlin,3,3,60921
C,3,5,79530
Jupyter Notebook,10,4,74409
HTML,9,2,25896
Swift,7,1,11099
Dockerfile,12,1,8359
C++,11,1,25375
Swift,5,1,20229
Dart,2,1,15441
Ruby,1,3,80088
MDX,9,1,39040
PHP,7,1,9546
Ruby,3,1,8653
Swift,4,1,8161
Python,10,24,801477
Jupyter Notebook,3,7,203456
Go,7,5,141885
Zig,3,1,50622
C++,9,6,117983
TypeScript,11,13,482290
Rust,10,4,200809
TypeScript,3,22,474667
Dart,11,1,25946
Kotlin,4,4,68972
HTML,7,1,20474
Kotlin,12,1,15987
SVG,3,1,12046
Shell,10,2,19834
Rust,3,5,76091
Rust,5,4,119719
C,12,3,54784
Kotlin,6,1,9425
Kotlin,5,1,8309
C++,4,1,8260
Makefile,10,1,8022
Jupyter Notebook,4,8,182901
HTML,2,2,60105
Vue,2,1,31732
Dart,5,2,52140
Mojo,4,1,25872
Dart,4,1,13706
Kotlin,9,1,26468
Svelte,11,1,14586
SystemVerilog,4,1,12182
Dart,3,1,8063
HTML,12,1,159593
JavaScript,8,5,104437
Jupyter Notebook,9,4,83821
Jupyter Notebook,11,7,184155
TypeScript,10,11,181672
Java,4,1,16751
JavaScript,2,4,75758
Dockerfile,9,1,15071
Lua,2,1,14237
Solidity,4,1,13927
Jupyter Notebook,2,2,31974
Go,8,4,61138
C#,10,1,11636
Rust,1,5,85089
Shell,6,2,29913
JavaScript,12,1,9137
JavaScript,1,1,8951
JavaScript,5,1,8698
JavaScript,10,1,8524
JavaScript,4,3,71665
Swift,8,2,35472
PowerShell,2,1,18398
Vue,10,1,14823
CSS,3,1,12957
Dart,6,1,12917
Ruby,7,1,11716
MDX,5,1,36770
Java,9,1,9212
PHP,1,1,8407
Python,8,30,837098
Java,11,2,148500
Python,11,17,555418
Rust,12,5,115973
PowerShell,4,1,51780
TypeScript,5,12,325394
TypeScript,4,20,601383
Text,4,1,21694
Objective-C,9,1,21201
TypeScript,6,12,205866
Kotlin,7,3,69032
Dart,8,3,65186
Jupyter Notebook,1,3,31662
C++,6,1,9223
JavaScript,7,4,71883
Python,7,15,411076
C#,6,1,8074
Scala,3,1,73003
Zig,2,1,28618
Java,6,2,36975
Rust,6,4,73575
Shell,7,1,14781
Dart,10,1,14744
C#,8,2,25044
PHP,3,1,14847
HTML,1,1,13534
TypeScript,2,19,480364
Dart,12,1,78161
TypeScript,8,19,415300
C++,3,4,226729
CSS,6,1,30804
Go,3,6,111964
Lua,11,1,20721
Dockerfile,2,1,19210
Python,6,20,438170
C,9,2,27331
C++,5,2,77691
Rust,9,2,28212
QML,12,1,13886
Shell,9,2,30340
Shell,8,1,10493
Kotlin,8,1,9382
Swift,1,1,9220
JavaScript,6,2,67423
HTML,8,1,35830
JavaScript,3,3,96612
Vue,6,1,12693
Shell,11,1,27592
Lua,8,1,17767
Svelte,10,1,8956
