language,year,repo_count,total_stars
Go,2022,21,369153
Zig,2022,1,50622
Kotlin,2022,11,169897
Objective-C,2022,1,21201
Solidity,2022,1,13927
QML,2022,1,13886
Vue,2022,2,16719
Go,2023,10,427008
TypeScript,2023,43,1495521
PowerShell,2023,1,18398
CSS,2023,1,12957
Shell,2024,9,197602
JavaScript,2024,8,197326
Cuda,2024,1,29551
Lua,2022,5,101193
Swift,2022,5,64167
Dockerfile,2022,3,42640
C++,2023,4,230341
Dart,2023,6,121382
Mojo,2023,1,25872
Python,2024,107,2619157
Rust,2024,9,138273
Svelte,2024,2,23542
Java,2022,2,141958
Jupyter Notebook,2023,22,693304
C,2023,3,68675
Go,2024,12,206581
MDX,2024,3,85057
C,2024,4,63523
Vue,2024,1,8795
Jupyter Notebook,2022,18,371553
PowerShell,2022,1,51780
C++,2022,14,234914
Elixir,2022,1,10066
Astro,2022,1,9200
Makefile,2022,1,8022
Zig,2023,1,28618
C#,2023,4,65519
Ruby,2023,3,37731
Batchfile,2024,1,25906
PHP,2024,3,32800
Dart,2022,3,120529
Svelte,2022,1,39534
Shell,2022,4,43519
Swift,2023,4,74774
HTML,2024,4,208168
TypeScript,2024,77,1569264
Python,2022,63,1658493
HTML,2022,7,244879
MDX,2022,1,73241
Rust,2022,20,441224
Text,2022,1,21694
MATLAB,2022,1,15293
SVG,2022,1,12046
C#,2022,2,19710
Python,2023,117,3654400
JavaScript,2023,12,286736
Vue,2023,3,59248
C++,2024,3,96935
Dart,2024,4,53644
SystemVerilog,2024,1,12182
PowerShell,2024,1,11310
Java,2024,2,20478
TypeScript,2022,52,1074761
JavaScript,2022,13,209411
CSS,2022,1,30804
C,2022,8,116737
Cuda,2022,3,38844
Rust,2023,21,574772
Java,2023,7,158456
Jupyter Notebook,2024,21,447143
Lua,2024,1,17767
Swift,2024,2,16375
Scala,2023,1,73003
Kotlin,2023,2,57770
HTML,2023,4,107603
MDX,2023,1,20701
Shell,2023,2,33643
Ruby,2024,2,62726
Kotlin,2024,4,71081
